#timestamp tx ty tz qx qy qz qw
1578481027.592700 -0.022131 -0.002501 0.009469 0.000598 -0.004132 0.004146 0.999983
1578481027.693571 -0.025355 0.003293 0.010018 -0.001146 0.000015 0.009838 0.999951
1578481027.794444 -0.039345 0.012298 0.011546 -0.002526 0.001082 0.018655 0.999822
1578481027.895317 -0.050483 0.017037 0.024045 -0.000756 0.005830 0.021901 0.999743
1578481027.996190 -0.069011 0.013980 0.033774 0.002702 0.010685 0.023457 0.999664
1578481028.096896 -0.079013 0.019048 0.039865 0.002576 0.016740 0.026818 0.999497
1578481028.197770 -0.089156 0.023867 0.043974 0.002049 0.018281 0.029217 0.999404
1578481028.298642 -0.091811 0.026613 0.056877 0.003504 0.023203 0.027189 0.999355
1578481028.399516 -0.098890 0.017544 0.036268 0.002443 0.008638 0.023408 0.999686
1578481028.500389 -0.119387 0.006832 0.072685 0.017538 0.014988 0.021263 0.999508
1578481028.601262 -0.128344 0.025013 0.299284 0.034329 0.075741 0.003841 0.996529
1578481028.702135 -0.125080 0.018453 0.357106 0.044205 0.083247 -0.005587 0.995532
1578481028.803009 -0.129745 0.013472 0.407385 0.051840 0.093706 -0.017286 0.994099
1578481028.903881 -0.139669 0.009946 0.457783 0.058172 0.089797 -0.022729 0.994000
1578481029.004583 -0.150857 0.005066 0.506120 0.068593 0.091392 -0.029309 0.993017
1578481029.105456 -0.147737 0.001729 0.558661 0.079851 0.092131 -0.041544 0.991670
1578481029.206328 -0.140493 -0.008629 0.602268 0.089385 0.089724 -0.050336 0.990670
1578481029.307202 -0.121853 -0.011760 0.627033 0.101352 0.068814 -0.057183 0.990819
1578481029.408075 -0.095532 -0.004448 0.642396 0.098913 0.052392 -0.076588 0.990760
1578481029.508949 -0.075364 -0.004026 0.665260 0.087390 0.029456 -0.094351 0.991258
1578481029.609821 -0.029822 -0.006488 0.700444 0.072702 0.011447 -0.116583 0.990450
1578481029.710694 0.007182 -0.012719 0.715975 0.065309 0.005863 -0.129689 0.989384
1578481029.811566 0.054658 -0.018035 0.713698 0.053630 -0.017269 -0.130338 0.989867
1578481029.912439 0.107213 -0.023291 0.708752 0.050400 -0.019453 -0.126808 0.990455
