#timestamp wx wy wz
1578481475.682500 0.009342 -0.000821 -0.002548
1578481475.685000 -0.001824 -0.000852 -0.005266
1578481475.687500 -0.003283 0.001858 0.000013
1578481475.690000 -0.006598 0.009297 -0.003356
1578481475.692500 -0.010453 0.011896 -0.000450
1578481475.695000 -0.012814 0.004980 -0.001834
1578481475.697500 -0.013855 0.012155 -0.004014
1578481475.700000 -0.018235 0.008713 -0.007454
1578481475.702500 -0.018808 0.013885 0.000195
1578481475.705000 -0.019017 0.011496 -0.006394
1578481475.707500 -0.023831 0.011857 0.000238
1578481475.710000 -0.021701 0.013337 -0.000249
1578481475.712500 -0.024068 0.011060 -0.003685
1578481475.715000 -0.017875 0.009558 0.000635
1578481475.717500 -0.016516 0.013159 -0.006627
1578481475.720000 -0.019091 0.012048 -0.005586
1578481475.722500 -0.018190 0.009875 -0.002223
1578481475.725000 -0.011350 0.006266 0.000918
1578481475.727500 -0.013466 0.007093 -0.006494
1578481475.730000 -0.009345 0.008006 -0.002243
1578481475.732500 -0.003275 0.002542 0.000080
1578481475.735000 -0.003886 -0.002459 -0.005330
1578481475.737500 -0.000788 0.000431 0.000654
1578481475.740000 0.000323 0.004826 -0.001016
1578481475.742500 0.004545 0.006923 0.000247
1578481475.745000 0.007884 -0.001764 0.007908
1578481475.747500 0.010060 -0.003113 0.002135
1578481475.750000 0.010033 -0.001314 -0.002471
1578481475.752500 0.018699 -0.003366 -0.003240
1578481475.755000 0.018859 -0.010248 0.002293
1578481475.757500 0.019065 -0.003074 0.004913
1578481475.760000 0.018890 -0.008026 0.005279
1578481475.762500 0.024512 -0.004327 0.007859
1578481475.765000 0.021198 -0.009750 0.002053
1578481475.767500 0.022613 -0.005621 0.004737
1578481475.770000 0.023760 -0.007908 0.004056
1578481475.772500 0.023876 -0.007404 0.000133
1578481475.775000 0.014196 -0.011769 -0.002959
1578481475.777500 0.016873 -0.000972 0.005452
1578481475.780000 0.010441 -0.004049 0.003058
1578481475.782500 0.009215 -0.003853 0.001498
1578481475.785000 0.003967 -0.000131 -0.000079
1578481475.787500 0.003600 -0.000691 0.002533
1578481475.790000 0.002462 0.005627 -0.001702
1578481475.792500 -0.007440 0.004475 -0.000072
1578481475.795000 -0.010405 0.004476 -0.000955
1578481475.797500 -0.007373 0.007439 -0.001436
1578481475.800000 -0.015111 0.006084 0.002132
1578481475.802500 -0.012971 0.002941 -0.003886
1578481475.805000 -0.020133 0.008014 0.000560
1578481475.807500 -0.017725 0.003259 -0.004528
1578481475.810000 -0.016397 0.009188 -0.002715
1578481475.812500 -0.016317 0.008327 -0.003272
1578481475.815000 -0.019619 0.010625 -0.005153
1578481475.817500 -0.013863 0.009370 0.001465
1578481475.820000 -0.007647 0.001682 0.001734
1578481475.822500 -0.001979 0.002111 -0.001588
1578481475.825000 -0.000042 0.004579 0.000294
1578481475.827500 0.000553 0.001611 -0.002944
1578481475.830000 0.003347 0.004575 0.001673
1578481475.832500 0.010641 0.003329 -0.002277
1578481475.835000 0.007580 -0.002176 -0.000741
1578481475.837500 0.014086 -0.004426 0.002839
1578481475.840000 0.018597 -0.005046 0.002111
1578481475.842500 0.021537 -0.007769 -0.000496
1578481475.845000 0.024049 -0.010258 0.004180
1578481475.847500 0.020312 -0.012477 0.003295
1578481475.850000 0.021182 -0.013100 0.002420
1578481475.852500 0.017276 -0.010809 0.008744
1578481475.855000 0.021210 -0.006482 0.004913
1578481475.857500 0.016221 -0.002633 0.001286
1578481475.860000 0.012781 -0.003740 0.001268
1578481475.862500 0.010148 -0.000952 -0.000109
1578481475.865000 0.007538 0.000125 -0.006217
1578481475.867500 -0.001888 0.003597 -0.000605
1578481475.870000 -0.003232 0.002842 0.002858
1578481475.872500 -0.004356 0.008161 0.003552
1578481475.875000 -0.009394 0.006942 -0.000826
1578481475.877500 -0.012428 0.011963 0.000098
1578481475.880000 -0.010842 0.008488 -0.000271
1578481475.882500 -0.015137 0.011849 -0.005069
1578481475.885000 -0.016344 0.014323 -0.002523
1578481475.887500 -0.015599 0.009380 -0.005262
1578481475.890000 -0.016159 0.009705 -0.009799
1578481475.892500 -0.014684 0.010379 -0.006309
1578481475.895000 -0.013416 0.008333 -0.006303
1578481475.897500 -0.014167 0.008699 -0.005066
1578481475.900000 -0.012800 0.004238 -0.001889
1578481475.902500 -0.007869 -0.000164 -0.003485
1578481475.905000 -0.007074 0.001059 0.003672
1578481475.907500 -0.001757 0.003521 0.000282
1578481475.910000 0.008486 -0.000894 0.005737
1578481475.912500 0.012019 -0.002249 -0.001025
1578481475.915000 0.014575 -0.004117 0.003091
1578481475.917500 0.018795 -0.005664 0.000866
1578481475.920000 0.021023 -0.006345 0.001371
1578481475.922500 0.022152 -0.003131 0.002187
1578481475.925000 0.017887 -0.006773 0.001293
1578481475.927500 0.016576 -0.009790 -0.001514
1578481475.930000 0.015597 -0.010481 0.003329
1578481475.932500 0.015718 -0.005776 0.000846
1578481475.935000 0.013711 -0.007695 0.002515
1578481475.937500 0.015803 -0.012021 -0.001462
1578481475.940000 0.010890 -0.009491 0.003678
1578481475.942500 0.008306 -0.005518 -0.000438
1578481475.945000 0.011149 -0.005838 0.002497
1578481475.947500 0.006594 -0.006635 0.003278
1578481475.950000 0.003341 -0.007492 0.003015
1578481475.952500 -0.000316 -0.001504 0.007232
1578481475.955000 0.005025 -0.000146 0.006141
1578481475.957500 0.001086 -0.001058 0.001778
1578481475.960000 0.001079 0.007719 0.005391
1578481475.962500 -0.004978 0.000636 -0.001676
1578481475.965000 -0.005998 0.006700 -0.001115
1578481475.967500 -0.006509 0.003430 -0.003798
1578481475.970000 -0.009896 0.007573 -0.000456
1578481475.972500 -0.015841 0.009122 -0.001109
1578481475.975000 -0.013074 0.006272 0.001271
1578481475.977500 -0.014421 0.013395 -0.001584
1578481475.980000 -0.012158 0.009732 -0.000642
1578481475.982500 -0.014484 0.013827 -0.001270
1578481475.985000 -0.019605 0.014330 -0.001168
1578481475.987500 -0.015485 0.013956 -0.005820
1578481475.990000 -0.017637 0.013901 -0.005147
1578481475.992500 -0.016324 0.013530 -0.001094
1578481475.995000 -0.014274 0.012223 0.000408
1578481475.997500 -0.010620 0.010976 0.001918
1578481476.000000 -0.008079 0.010163 0.000253
1578481476.002500 -0.009495 0.006212 0.000061
1578481476.005000 -0.005090 0.000380 0.003186
1578481476.007500 0.003184 0.002904 -0.001068
1578481476.010000 0.000916 0.002386 0.010182
1578481476.012500 0.010173 -0.001873 0.000018
1578481476.015000 0.012319 -0.001626 -0.002457
1578481476.017500 0.015754 -0.004792 -0.000519
1578481476.020000 0.015564 -0.004293 0.001721
1578481476.022500 0.018482 -0.001082 0.000617
1578481476.025000 0.016788 -0.007086 0.002037
1578481476.027500 0.020333 -0.009191 0.003543
1578481476.030000 0.018878 -0.007020 0.002731
1578481476.032500 0.019100 -0.009054 -0.000504
1578481476.035000 0.019895 -0.009069 0.000930
1578481476.037500 0.019671 -0.010377 0.007392
1578481476.040000 0.024159 -0.014335 0.002684
1578481476.042500 0.021558 -0.013149 0.001302
1578481476.045000 0.021026 -0.014827 0.002354
